  Year 1  ,  Year 2  ,  Year 3  ,  Year 4  ,  Year 5  
" 211,173.00 "," 259,014.00 "," 478,845.00 "," 199,838.00 "," 201,169.00 "
" 50,579.00 "," 177,253.00 "," 218,576.00 "," 199,929.00 "," 146,322.00 "
" 277,191.00 "," 344,561.00 "," 1,332.00 "," 199,594.00 "," 2,796.00 "
" 257,461.00 "," 220,166.00 "," 70,242.00 "," 200,053.00 "," 105,835.00 "
" 202,017.00 "," 281,521.00 "," 81,812.00 "," 200,235.00 "," 21,809.00 "
" 287,491.00 "," 317,128.00 "," 185,723.00 "," 200,660.00 "," 119,198.00 "
" 129,391.00 "," 226,361.00 "," 481,133.00 "," 200,335.00 ",  -    
" 81,091.00 "," 266,039.00 "," 498,255.00 "," 200,402.00 ",  -    
" 67,329.00 "," 158,321.00 "," 114,248.00 "," 200,225.00 ",  -    
" 110,091.00 "," 182,920.00 ", 186.00 ," 199,248.00 ",  -    
" 29,344.00 "," 233,647.00 "," 140,983.00 "," 200,068.00 "," 146,258.00 "
" 150,822.00 "," 341,686.00 "," 198,379.00 "," 199,550.00 "," 211,141.00 "
" 139,492.00 "," 194,805.00 "," 69,740.00 "," 200,179.00 "," 83,123.00 "
" 264,039.00 "," 243,679.00 "," 442,037.00 "," 200,597.00 "," 75,227.00 "
" 261,484.00 "," 157,162.00 "," 224,163.00 "," 199,467.00 "," 26,118.00 "
" 131,328.00 "," 223,712.00 "," 499,843.00 "," 200,216.00 "," 38,442.00 "
" 96,311.00 "," 340,315.00 "," 102,883.00 "," 200,557.00 "," 15,406.00 "
" 8,195.00 "," 334,242.00 "," 461,866.00 "," 200,024.00 "," 48,542.00 "
" 147,862.00 "," 327,322.00 "," 42,159.00 "," 199,754.00 "," 57,732.00 "
" 376,033.00 "," 274,615.00 "," 397,248.00 "," 200,297.00 ",  -    
" 206,024.00 "," 331,924.00 "," 7,633.00 "," 199,488.00 "," 97,574.00 "
" 211,140.00 "," 194,803.00 "," 10,502.00 "," 199,790.00 ",  -    
" 256,436.00 "," 213,118.00 "," 249,554.00 "," 200,569.00 "," 78,954.00 "
" 109,155.00 "," 298,172.00 "," 459,247.00 "," 199,698.00 "," 102,198.00 "
" 205,101.00 "," 157,650.00 "," 298,049.00 "," 200,184.00 "," 46,924.00 "
" 284,533.00 "," 250,493.00 "," 198,295.00 "," 199,304.00 ",  -    
" 276,604.00 "," 160,304.00 "," 6,372.00 "," 200,300.00 "," 11,789.00 "
" 283,069.00 "," 240,518.00 "," 478,370.00 "," 200,485.00 "," 221,444.00 "
" 6,831.00 "," 277,885.00 "," 52,380.00 "," 199,548.00 "," 108,505.00 "
" 182,972.00 "," 180,138.00 "," 294,768.00 "," 200,733.00 ",  -    
  -    ," 300,362.00 "," 250,659.00 "," 200,239.00 ",  -    
  -    ," 174,268.00 "," 31,678.00 "," 199,463.00 "," 164,707.00 "
" 239,959.00 "," 152,180.00 "," 151,978.00 "," 200,504.00 "," 134,584.00 "
" 194,469.00 "," 287,492.00 "," 470,836.00 "," 199,640.00 ",  -    
" 414,445.00 "," 240,959.00 "," 314,654.00 "," 199,723.00 "," 86,122.00 "
" 205,672.00 "," 320,841.00 "," 3,378.00 "," 199,674.00 "," 132,149.00 "
" 188,676.00 "," 188,894.00 "," 494,109.00 "," 199,433.00 "," 217,469.00 "
" 271,122.00 "," 347,308.00 "," 47,464.00 "," 200,226.00 ",  -    
" 113,184.00 "," 200,965.00 "," 101,498.00 "," 200,139.00 "," 105,254.00 "
" 196,434.00 "," 172,232.00 "," 44,185.00 "," 199,784.00 "," 24,750.00 "
" 150,094.00 "," 231,535.00 "," 184,394.00 "," 199,694.00 "," 88,944.00 "
" 208,129.00 "," 205,708.00 "," 315,732.00 "," 199,696.00 "," 116,124.00 "
" 294,720.00 "," 200,999.00 "," 110,691.00 "," 200,659.00 ",  -    
" 90,825.00 "," 209,989.00 "," 323,816.00 "," 200,195.00 ",  -    
  -    ," 254,928.00 "," 71,699.00 "," 199,873.00 ",  -    
" 422,698.00 "," 241,229.00 "," 328,831.00 "," 200,187.00 "," 55,762.00 "
" 167,904.00 "," 283,131.00 "," 10,536.00 "," 198,956.00 ",  -    
" 45,344.00 "," 343,657.00 "," 267,909.00 "," 200,021.00 "," 187,582.00 "
" 183,009.00 "," 268,126.00 "," 494,328.00 "," 200,580.00 ",  -    
" 198,723.00 "," 157,113.00 "," 3,545.00 "," 199,852.00 "," 118,418.00 "
" 158,966.00 "," 331,439.00 "," 339,087.00 "," 200,328.00 "," 5,425.00 "
" 217,692.00 "," 315,823.00 "," 405,062.00 "," 199,891.00 "," 73,093.00 "
" 43,342.00 "," 192,425.00 "," 124,023.00 "," 200,394.00 "," 42,254.00 "
" 333,343.00 "," 302,408.00 "," 126,361.00 "," 200,269.00 "," 71,138.00 "
" 175,770.00 "," 183,580.00 "," 194,675.00 "," 200,496.00 "," 83,041.00 "
" 132,178.00 "," 311,551.00 "," 467,863.00 "," 200,332.00 ",  -    
" 202,434.00 "," 202,820.00 "," 314,265.00 "," 199,516.00 ",  -    
" 135,315.00 "," 277,631.00 "," 479,931.00 "," 200,356.00 "," 268,032.00 "
" 37,951.00 "," 319,575.00 "," 47,208.00 "," 200,837.00 "," 8,366.00 "
" 164,421.00 "," 153,407.00 "," 432,615.00 "," 199,525.00 "," 48,237.00 "
" 68,522.00 "," 218,818.00 "," 4,860.00 "," 200,800.00 "," 150,936.00 "
" 256,852.00 "," 300,114.00 "," 91,608.00 "," 200,025.00 "," 68,471.00 "
" 336,345.00 "," 329,083.00 "," 68,398.00 "," 200,352.00 ",  -    
" 236,938.00 "," 244,547.00 "," 436,699.00 "," 199,651.00 "," 21,750.00 "
" 277,829.00 "," 229,576.00 "," 177,418.00 "," 199,889.00 "," 162,045.00 "
  -    ," 337,714.00 "," 448,484.00 "," 200,121.00 "," 153,757.00 "
" 318,865.00 "," 196,672.00 "," 99,427.00 "," 199,889.00 "," 69,027.00 "
  -    ," 185,615.00 "," 199,151.00 "," 200,275.00 "," 157,345.00 "
" 156,678.00 "," 279,691.00 "," 29,132.00 "," 200,422.00 ",  -    
" 292,368.00 "," 244,292.00 "," 497,905.00 "," 200,128.00 ",  -    
" 180,274.00 "," 204,097.00 "," 258,009.00 "," 200,542.00 "," 80,091.00 "
" 442,501.00 "," 264,945.00 "," 219,887.00 "," 199,919.00 "," 189,152.00 "
" 122,703.00 "," 298,511.00 "," 368,456.00 "," 200,317.00 "," 166,240.00 "
" 281,805.00 "," 155,054.00 "," 337,597.00 "," 199,690.00 ",  -    
" 234,290.00 "," 161,252.00 "," 209,049.00 "," 199,706.00 "," 65,974.00 "
" 123,073.00 "," 228,472.00 "," 475,492.00 "," 200,489.00 "," 92,833.00 "
" 182,119.00 "," 287,204.00 "," 453,461.00 "," 199,953.00 "," 1,837.00 "
" 83,017.00 "," 339,163.00 "," 400,585.00 "," 200,305.00 "," 9,896.00 "
" 82,653.00 "," 290,698.00 "," 289,489.00 "," 199,864.00 ",  -    
" 106,930.00 "," 288,617.00 "," 36,946.00 "," 200,017.00 ",  -    
  -    ," 322,765.00 "," 24,082.00 "," 200,558.00 "," 144,950.00 "
" 133,909.00 "," 176,633.00 "," 258,888.00 "," 200,230.00 ",  -    
" 174,201.00 "," 326,460.00 "," 496,670.00 "," 199,497.00 "," 96,756.00 "
" 30,387.00 "," 296,833.00 "," 131,523.00 "," 200,380.00 "," 123,638.00 "
" 214,235.00 "," 156,434.00 "," 258,853.00 "," 199,697.00 ",  -    
" 95,513.00 "," 235,604.00 "," 300,124.00 "," 199,481.00 "," 98,283.00 "
" 195,798.00 "," 180,513.00 "," 9,418.00 "," 199,751.00 "," 42,804.00 "
" 113,809.00 "," 341,693.00 "," 147,858.00 "," 199,983.00 "," 13,830.00 "
" 172,826.00 "," 188,540.00 "," 160,767.00 "," 200,334.00 ",  -    
" 135,257.00 "," 323,827.00 "," 14,581.00 "," 200,186.00 "," 31,556.00 "
" 296,426.00 "," 189,408.00 "," 371,967.00 "," 200,724.00 "," 180,342.00 "
" 104,623.00 "," 226,124.00 "," 145,623.00 "," 200,584.00 "," 183,912.00 "
" 116,786.00 "," 286,510.00 "," 449,491.00 "," 199,376.00 ",  -    
" 358,455.00 "," 199,488.00 "," 319,405.00 "," 199,995.00 ",  -    
" 156,430.00 "," 219,020.00 "," 40,059.00 "," 200,445.00 "," 58,029.00 "
" 145,770.00 "," 252,459.00 "," 178,340.00 "," 200,186.00 "," 44,313.00 "
" 27,539.00 "," 296,177.00 "," 475,624.00 "," 199,606.00 "," 318,431.00 "
" 268,338.00 "," 158,113.00 "," 450,444.00 "," 200,225.00 "," 204,883.00 "
" 267,425.00 "," 233,652.00 "," 5,804.00 "," 200,210.00 "," 196,990.00 "
" 33,470.00 "," 170,243.00 "," 57,303.00 "," 199,703.00 ",  -    
" 158,585.00 "," 320,188.00 "," 410,989.00 "," 200,652.00 "," 64,586.00 "
" 180,143.00 "," 245,328.00 "," 310,612.00 "," 200,162.00 ",  -    
" 267,525.00 "," 206,866.00 "," 67,891.00 "," 199,551.00 "," 135,479.00 "
" 234,384.00 "," 310,676.00 "," 131,480.00 "," 200,029.00 "," 32,019.00 "
" 140,990.00 "," 236,586.00 "," 333,619.00 "," 199,869.00 "," 35,152.00 "
" 302,549.00 "," 287,544.00 "," 13,138.00 "," 200,194.00 "," 179,323.00 "
" 186,738.00 "," 257,390.00 "," 499,332.00 "," 200,219.00 "," 28,468.00 "
" 60,549.00 "," 207,450.00 "," 189,980.00 "," 200,045.00 ",  -    
" 185,456.00 "," 151,246.00 "," 69,613.00 "," 200,973.00 ",  -    
" 97,073.00 "," 337,447.00 "," 375,637.00 "," 199,672.00 "," 306,208.00 "
" 184,679.00 "," 270,838.00 "," 405,751.00 "," 199,342.00 "," 121,369.00 "
" 123,655.00 "," 155,507.00 "," 101,658.00 "," 200,121.00 "," 69,967.00 "
" 103,876.00 "," 309,043.00 "," 127,535.00 "," 199,875.00 "," 74,428.00 "
" 248,727.00 "," 312,810.00 "," 400,399.00 "," 200,125.00 "," 169,623.00 "
" 148,644.00 "," 289,742.00 "," 47,485.00 "," 200,224.00 "," 60,675.00 "
" 86,153.00 "," 170,578.00 "," 398,368.00 "," 199,783.00 ",  -    
" 67,253.00 "," 335,689.00 "," 7,614.00 "," 199,852.00 ",  -    
" 228,397.00 "," 322,656.00 "," 488,588.00 "," 200,214.00 "," 283,333.00 "
" 353,190.00 "," 315,007.00 "," 70,577.00 "," 200,133.00 "," 42,710.00 "
" 193,822.00 "," 259,752.00 "," 495,817.00 "," 199,440.00 "," 291,771.00 "
" 291,079.00 "," 151,444.00 "," 117,789.00 "," 200,009.00 "," 24,900.00 "
" 117,906.00 "," 276,493.00 "," 21,322.00 "," 200,454.00 "," 134,974.00 "
" 175,091.00 "," 188,645.00 "," 28,929.00 "," 199,552.00 ",  -    
" 210,391.00 "," 343,448.00 "," 140,388.00 "," 200,165.00 ",  -    
" 295,428.00 "," 287,296.00 "," 302,339.00 "," 199,552.00 "," 176,611.00 "
" 262,808.00 "," 298,733.00 "," 498,976.00 "," 200,442.00 "," 171,317.00 "
" 259,172.00 "," 247,955.00 "," 52,129.00 "," 199,701.00 "," 91,111.00 "
" 175,307.00 "," 277,243.00 "," 464,288.00 "," 199,799.00 "," 99,194.00 "
" 132,467.00 "," 253,702.00 "," 28,710.00 "," 200,462.00 "," 92,696.00 "
" 358,359.00 "," 242,104.00 "," 494,643.00 "," 199,530.00 "," 96,171.00 "
" 76,835.00 "," 326,972.00 "," 183,157.00 "," 199,915.00 "," 41,900.00 "
  -    ," 234,643.00 "," 253,012.00 "," 200,546.00 "," 11,965.00 "
" 50,377.00 "," 334,332.00 "," 303,317.00 "," 200,199.00 "," 22,690.00 "
" 277,473.00 "," 196,541.00 "," 425,361.00 "," 199,840.00 "," 178,834.00 "
" 122,824.00 "," 283,133.00 "," 372,187.00 "," 199,962.00 "," 98,708.00 "
" 355,844.00 "," 343,995.00 "," 452,165.00 "," 200,525.00 ",  -    
" 210,769.00 "," 343,596.00 "," 35,237.00 "," 200,512.00 "," 152,974.00 "
" 254,318.00 "," 220,860.00 "," 219,574.00 "," 199,746.00 "," 123,205.00 "
" 156,432.00 "," 262,277.00 "," 2,086.00 "," 200,815.00 "," 107,668.00 "
" 199,626.00 "," 261,679.00 "," 349,759.00 "," 200,457.00 "," 161,709.00 "
" 386,917.00 "," 280,985.00 "," 374,313.00 "," 199,373.00 ",  -    
" 194,939.00 "," 186,177.00 "," 43,147.00 "," 199,290.00 "," 21,569.00 "
" 287,389.00 "," 209,722.00 "," 56,738.00 "," 200,109.00 ",  -    
" 47,835.00 "," 235,867.00 "," 370,440.00 "," 200,057.00 "," 154,102.00 "
" 134,519.00 "," 234,033.00 "," 465,702.00 "," 199,362.00 "," 117,452.00 "
" 130,619.00 "," 214,830.00 "," 466,598.00 "," 199,698.00 "," 61,201.00 "
" 200,823.00 "," 298,416.00 "," 44,128.00 "," 200,369.00 ",  -    
" 268,238.00 "," 164,096.00 "," 477,098.00 "," 199,865.00 "," 38,799.00 "
" 32,506.00 "," 249,231.00 "," 312,356.00 "," 200,058.00 ",  -    
" 230,566.00 "," 151,695.00 "," 290,475.00 "," 200,176.00 "," 55,612.00 "
" 142,049.00 "," 177,512.00 "," 88,361.00 "," 199,380.00 "," 113,705.00 "
" 49,397.00 "," 198,530.00 "," 42,937.00 "," 200,019.00 "," 50,056.00 "
" 293,924.00 "," 326,986.00 "," 87,619.00 "," 200,262.00 ",  -    
" 221,292.00 "," 225,247.00 "," 172,494.00 "," 200,431.00 "," 103,811.00 "
" 146,130.00 "," 150,096.00 "," 8,942.00 "," 199,895.00 "," 80,984.00 "
" 111,502.00 "," 151,777.00 "," 491,387.00 "," 199,974.00 "," 89,081.00 "
" 316,433.00 "," 316,986.00 ", 152.00 ," 200,520.00 ",  -    
" 383,621.00 "," 287,879.00 "," 235,629.00 "," 200,178.00 "," 43,586.00 "
" 156,447.00 "," 293,003.00 "," 488,587.00 "," 200,828.00 "," 213,319.00 "
" 128,149.00 "," 216,057.00 ", 205.00 ," 200,108.00 ",  -    
" 178,395.00 "," 225,430.00 "," 72,901.00 "," 199,960.00 "," 90,967.00 "
" 131,968.00 "," 208,677.00 "," 316,977.00 "," 200,519.00 ",  -    
" 397,721.00 "," 322,697.00 "," 72,649.00 "," 199,918.00 "," 68,292.00 "
" 347,369.00 "," 219,502.00 "," 33,449.00 "," 200,268.00 "," 137,054.00 "
" 152,930.00 "," 192,706.00 "," 13,552.00 "," 200,139.00 "," 103,014.00 "
" 89,155.00 "," 317,022.00 "," 366,541.00 "," 200,223.00 "," 68,443.00 "
" 346,648.00 "," 208,998.00 "," 83,419.00 "," 199,929.00 "," 136,003.00 "
" 230,305.00 "," 174,286.00 "," 18,133.00 "," 200,324.00 "," 208,960.00 "
" 320,633.00 "," 274,479.00 "," 320,574.00 "," 201,068.00 "," 229,199.00 "
" 332,624.00 "," 158,275.00 "," 497,790.00 "," 200,389.00 ",  -    
" 86,661.00 "," 228,036.00 "," 398,996.00 "," 200,520.00 ",  -    
" 101,477.00 "," 185,232.00 "," 494,722.00 "," 199,992.00 "," 105,056.00 "
" 280,630.00 "," 322,475.00 "," 19,657.00 "," 200,789.00 "," 10,665.00 "
" 82,086.00 "," 263,861.00 "," 1,066.00 "," 199,770.00 "," 38,327.00 "
" 91,361.00 "," 325,786.00 "," 23,602.00 "," 200,081.00 "," 78,060.00 "
" 314,115.00 "," 157,523.00 "," 69,692.00 "," 200,368.00 "," 36,146.00 "
" 186,091.00 "," 191,856.00 "," 308,616.00 "," 200,472.00 "," 31,074.00 "
" 217,359.00 "," 334,462.00 ", 915.00 ," 200,516.00 "," 21,618.00 "
" 229,964.00 "," 301,257.00 "," 375,650.00 "," 199,975.00 "," 93,426.00 "
" 100,407.00 "," 266,857.00 "," 432,224.00 "," 199,644.00 ",  -    
" 133,238.00 "," 243,593.00 "," 2,717.00 "," 199,618.00 ",  -    
" 178,710.00 "," 288,464.00 "," 497,328.00 "," 199,612.00 "," 4,682.00 "
" 107,650.00 "," 177,749.00 "," 468,415.00 "," 199,692.00 "," 101,102.00 "
" 298,153.00 "," 262,931.00 "," 1,443.00 "," 199,482.00 "," 86,694.00 "
" 175,165.00 "," 245,687.00 "," 156,980.00 "," 200,041.00 "," 194,253.00 "
" 384,242.00 "," 286,545.00 "," 39,216.00 "," 199,932.00 ",  -    
" 97,005.00 "," 262,467.00 "," 239,819.00 "," 199,509.00 "," 207,702.00 "
" 272,790.00 "," 323,245.00 "," 178,513.00 "," 200,647.00 "," 25,164.00 "
" 53,072.00 "," 172,059.00 "," 64,580.00 "," 200,294.00 "," 100,975.00 "
" 268,626.00 "," 325,487.00 "," 206,360.00 "," 199,807.00 "," 105,361.00 "
" 244,500.00 "," 258,406.00 "," 499,115.00 "," 200,416.00 "," 79,219.00 "
" 270,100.00 "," 205,317.00 "," 133,872.00 "," 200,197.00 ",  -    
" 124,156.00 "," 212,240.00 "," 483,052.00 "," 200,007.00 ",  -    
" 222,713.00 "," 245,329.00 "," 495,316.00 "," 199,482.00 ",  -    
" 260,080.00 "," 243,055.00 "," 495,506.00 "," 200,656.00 "," 67,663.00 "
" 190,839.00 "," 226,186.00 "," 60,918.00 "," 199,780.00 "," 164,179.00 "
" 209,753.00 "," 282,791.00 "," 51,730.00 "," 200,196.00 "," 219,432.00 "
" 207,110.00 "," 165,755.00 "," 327,104.00 "," 199,964.00 "," 30,623.00 "
" 306,430.00 "," 292,678.00 "," 11,167.00 "," 199,697.00 ",  -    
" 145,611.00 "," 187,115.00 "," 196,261.00 "," 199,913.00 "," 237,500.00 "
" 128,937.00 "," 289,830.00 "," 3,489.00 "," 199,483.00 ",  -    
" 101,915.00 "," 265,784.00 "," 497,945.00 "," 199,975.00 ",  -    
" 23,650.00 "," 201,948.00 "," 15,630.00 "," 199,365.00 "," 67,833.00 "
" 285,291.00 "," 338,771.00 "," 202,036.00 "," 200,395.00 ",  -    
" 359,047.00 "," 270,662.00 "," 310,199.00 "," 200,005.00 "," 141,752.00 "
" 131,865.00 "," 296,216.00 "," 154,742.00 "," 199,508.00 ",  -    
" 246,995.00 "," 282,550.00 "," 268,784.00 "," 200,231.00 "," 142,965.00 "
" 98,386.00 "," 315,219.00 "," 452,816.00 "," 200,078.00 "," 15,700.00 "
" 115,745.00 "," 176,658.00 "," 30,431.00 "," 200,331.00 "," 29,696.00 "
" 204,687.00 "," 347,931.00 "," 5,288.00 "," 199,821.00 ",  -    
" 259,097.00 "," 170,817.00 "," 1,625.00 "," 199,649.00 ",  -    
" 158,788.00 "," 333,922.00 "," 54,963.00 "," 200,232.00 "," 56,029.00 "
" 93,039.00 "," 319,746.00 "," 55,487.00 "," 199,587.00 "," 142,973.00 "
" 189,963.00 "," 172,616.00 "," 405,667.00 "," 199,850.00 ",  -    
" 168,461.00 "," 253,609.00 "," 164,575.00 "," 200,314.00 ",  -    
" 227,673.00 "," 340,272.00 "," 15,926.00 "," 199,662.00 "," 22,875.00 "
" 339,274.00 "," 201,949.00 "," 380,382.00 "," 199,596.00 "," 113,104.00 "
" 345,960.00 "," 255,019.00 "," 163,778.00 "," 200,552.00 "," 61,413.00 "
" 290,894.00 "," 299,919.00 "," 11,382.00 "," 199,479.00 ",  -    
" 73,066.00 "," 343,404.00 "," 38,752.00 "," 199,994.00 ",  -    
" 268,277.00 "," 190,123.00 "," 409,941.00 "," 200,623.00 "," 127,723.00 "
" 55,508.00 "," 165,643.00 "," 450,425.00 "," 199,496.00 ",  -    
" 318,633.00 "," 242,654.00 "," 413,334.00 "," 199,420.00 "," 119,412.00 "
" 255,042.00 "," 196,956.00 "," 359,463.00 "," 199,380.00 "," 67,799.00 "
" 208,856.00 "," 165,692.00 "," 325,483.00 "," 199,953.00 ",  -    
" 133,471.00 "," 219,796.00 "," 499,655.00 "," 200,178.00 ",  -    
" 158,550.00 "," 166,760.00 ", 217.00 ," 199,285.00 "," 191,219.00 "
" 278,817.00 "," 340,456.00 "," 346,181.00 "," 199,416.00 "," 221,222.00 "
" 94,562.00 "," 302,787.00 "," 362,313.00 "," 200,131.00 ",  -    
" 170,157.00 "," 271,514.00 "," 494,081.00 "," 200,199.00 "," 206,740.00 "
" 33,783.00 "," 265,381.00 "," 35,489.00 "," 199,628.00 "," 137,875.00 "
" 185,039.00 "," 212,234.00 "," 30,255.00 "," 199,771.00 "," 167,110.00 "
" 42,308.00 "," 241,979.00 "," 481,189.00 "," 199,909.00 ",  -    
" 225,057.00 "," 181,077.00 "," 251,752.00 "," 200,540.00 "," 131,273.00 "
" 228,941.00 "," 215,785.00 "," 477,457.00 "," 198,949.00 ",  -    
" 231,169.00 "," 286,163.00 "," 231,156.00 "," 199,847.00 "," 50,409.00 "
" 126,101.00 "," 339,582.00 "," 468,694.00 "," 199,447.00 "," 68,992.00 "
" 152,426.00 "," 304,597.00 "," 490,759.00 "," 199,402.00 "," 67,858.00 "
" 2,499.00 "," 270,361.00 "," 499,977.00 "," 200,578.00 ",  -    
" 247,131.00 "," 232,392.00 "," 85,681.00 "," 199,421.00 ",  -    
" 211,540.00 "," 242,252.00 "," 351,855.00 "," 199,934.00 ",  -    
" 256,952.00 "," 338,258.00 "," 64,533.00 "," 200,135.00 "," 69,723.00 "
" 288,419.00 "," 262,453.00 "," 96,809.00 "," 199,846.00 "," 155,533.00 "
" 81,163.00 "," 274,130.00 "," 487,665.00 "," 199,960.00 ",  -    
" 114,738.00 "," 307,440.00 "," 468,425.00 "," 199,314.00 "," 89,320.00 "
" 251,449.00 "," 305,029.00 "," 33,286.00 "," 199,788.00 "," 23,788.00 "
" 133,277.00 "," 203,001.00 "," 155,300.00 "," 200,073.00 ",  -    
" 200,933.00 "," 293,449.00 "," 204,212.00 "," 200,048.00 "," 31,239.00 "
" 188,160.00 "," 167,986.00 "," 168,342.00 "," 199,918.00 "," 98,863.00 "
" 90,951.00 "," 254,802.00 "," 459,422.00 "," 199,880.00 ",  -    
" 249,808.00 "," 188,831.00 "," 496,174.00 "," 199,800.00 "," 2,984.00 "
" 210,927.00 "," 221,783.00 "," 3,354.00 "," 199,218.00 ",  -    
" 132,093.00 "," 310,004.00 "," 9,153.00 "," 199,471.00 "," 51,427.00 "
" 100,902.00 "," 192,134.00 "," 265,044.00 "," 199,482.00 "," 122,008.00 "
" 227,371.00 "," 168,145.00 ", 193.00 ," 199,888.00 "," 31,961.00 "
" 243,733.00 "," 342,123.00 "," 479,765.00 "," 199,931.00 ",  -    
" 244,222.00 "," 160,338.00 "," 98,378.00 "," 199,832.00 ",  -    
" 139,153.00 "," 315,309.00 "," 80,279.00 "," 200,267.00 "," 80,605.00 "
" 305,943.00 "," 294,242.00 "," 185,764.00 "," 199,570.00 "," 50,470.00 "
" 204,986.00 "," 241,086.00 "," 447,407.00 "," 199,958.00 "," 162,514.00 "
" 275,028.00 "," 311,231.00 "," 14,539.00 "," 200,585.00 ",  -    
" 189,076.00 "," 174,024.00 "," 379,216.00 "," 200,261.00 "," 110,201.00 "
" 213,501.00 "," 295,066.00 "," 187,311.00 "," 200,143.00 ",  -    
" 100,402.00 "," 274,543.00 "," 415,588.00 "," 199,820.00 "," 21,705.00 "
" 23,432.00 "," 321,722.00 "," 386,517.00 "," 199,962.00 "," 185,130.00 "
" 275,488.00 "," 249,937.00 "," 499,980.00 "," 200,642.00 "," 48,077.00 "
" 192,420.00 "," 156,781.00 "," 368,496.00 "," 200,189.00 "," 153,518.00 "
" 149,907.00 "," 196,948.00 "," 14,234.00 "," 199,360.00 "," 86,455.00 "
" 153,361.00 "," 306,997.00 "," 171,202.00 "," 200,192.00 "," 155,816.00 "
" 108,057.00 "," 197,866.00 "," 57,898.00 "," 200,597.00 "," 97,134.00 "
" 86,307.00 "," 227,859.00 "," 263,649.00 "," 200,504.00 "," 117,447.00 "
" 270,024.00 "," 288,249.00 "," 104,992.00 "," 200,071.00 ",  -    
" 303,735.00 "," 191,812.00 "," 329,331.00 "," 199,107.00 "," 150,936.00 "
" 175,316.00 "," 304,782.00 "," 104,654.00 "," 199,553.00 "," 65,764.00 "
" 47,851.00 "," 325,207.00 "," 373,990.00 "," 199,530.00 "," 148,757.00 "
" 185,485.00 "," 301,976.00 "," 206,476.00 "," 200,232.00 ",  -    
" 280,828.00 "," 335,847.00 "," 413,304.00 "," 200,015.00 "," 96,227.00 "
" 264,490.00 "," 181,951.00 "," 106,756.00 "," 199,654.00 "," 62,363.00 "
" 216,096.00 "," 195,604.00 "," 2,305.00 "," 199,954.00 "," 181,022.00 "
" 366,548.00 "," 203,302.00 "," 78,942.00 "," 200,065.00 "," 105,072.00 "
" 239,027.00 "," 337,357.00 "," 217,748.00 "," 200,298.00 "," 104,000.00 "
" 107,861.00 "," 328,075.00 "," 244,347.00 "," 200,054.00 "," 159,680.00 "
" 301,767.00 "," 197,082.00 "," 455,341.00 "," 199,831.00 "," 17,368.00 "
" 285,819.00 "," 224,228.00 "," 82,534.00 "," 200,256.00 "," 159,530.00 "
" 75,795.00 "," 284,648.00 "," 279,102.00 "," 200,582.00 "," 117,014.00 "
" 415,067.00 "," 264,572.00 "," 467,585.00 "," 199,807.00 ",  -    
" 234,862.00 "," 255,166.00 "," 138,537.00 "," 199,116.00 "," 16,527.00 "
" 301,571.00 "," 333,534.00 "," 493,745.00 "," 200,065.00 "," 56,835.00 "
" 173,506.00 "," 220,685.00 "," 487,516.00 "," 200,258.00 "," 76,888.00 "
" 250,604.00 "," 294,080.00 "," 488,669.00 "," 200,164.00 "," 10,859.00 "
" 273,122.00 "," 347,814.00 "," 8,708.00 "," 200,269.00 "," 109,327.00 "
" 362,541.00 "," 221,438.00 "," 369,135.00 "," 199,760.00 "," 95,355.00 "
" 273,551.00 "," 229,363.00 "," 492,715.00 "," 199,671.00 ",  -    
" 142,905.00 "," 331,360.00 "," 13,040.00 "," 200,075.00 "," 196,948.00 "
" 132,248.00 "," 285,576.00 "," 248,061.00 "," 200,402.00 "," 185,538.00 "
" 38,526.00 "," 247,067.00 "," 423,854.00 "," 199,819.00 "," 125,609.00 "
" 241,293.00 "," 309,002.00 "," 22,633.00 "," 199,961.00 ",  -    
" 274,001.00 "," 276,184.00 "," 479,529.00 "," 199,828.00 "," 24,749.00 "
" 97,423.00 "," 325,891.00 "," 478,327.00 "," 200,482.00 "," 62,601.00 "
" 101,226.00 "," 191,767.00 "," 10,798.00 "," 200,052.00 "," 130,195.00 "
" 167,931.00 "," 153,371.00 "," 487,030.00 "," 199,646.00 "," 205,466.00 "
" 166,930.00 "," 197,759.00 "," 95,836.00 "," 200,321.00 "," 79,826.00 "
" 123,444.00 "," 292,200.00 "," 9,646.00 "," 199,561.00 "," 27,817.00 "
" 173,429.00 "," 319,002.00 "," 498,459.00 "," 200,494.00 "," 121,932.00 "
" 169,448.00 "," 225,402.00 "," 443,480.00 "," 200,295.00 ",  -    
" 64,834.00 "," 348,262.00 "," 25,046.00 "," 200,143.00 ",  -    
" 170,301.00 "," 309,333.00 "," 499,986.00 "," 200,122.00 "," 14,620.00 "
" 306,884.00 "," 160,974.00 "," 1,666.00 "," 199,941.00 ",  -    
" 269,281.00 "," 241,385.00 "," 234,711.00 "," 200,185.00 "," 81,564.00 "
" 52,284.00 "," 175,275.00 "," 19,908.00 "," 199,753.00 "," 7,114.00 "
" 143,831.00 "," 348,312.00 "," 487,462.00 "," 199,941.00 ",  -    
" 210,521.00 "," 211,999.00 "," 192,201.00 "," 200,072.00 "," 71,665.00 "
" 382,195.00 "," 310,082.00 "," 486,533.00 "," 200,268.00 ",  -    
" 231,644.00 "," 255,417.00 "," 297,976.00 "," 200,201.00 "," 18,443.00 "
